name,P_cont_nominal,P_disp_nominal,P_cont,P_disp,repeat,status,frequency_Hz,n_detections,n_free,L_um,w_um,d_eq_um,L_over_w,polydispersity,v_drop_mm_s
pc11.5k_pd2.7k_r2,11500.0,2700.0,11210.4,2781.8,2,ok,33.333333333333336,77,52,202.98908930271864,127.49999450534233,174.773573396087,1.3532605953514576,0.10094891384997104,24.53231668559258
pc11.5k_pd3k_r0,11500.0,3000.0,11809.6,3046.9,0,ok,33.333333333333336,84,57,202.98914751037955,127.49999450534233,176.30360287256306,1.3532609834025304,0.11251179098674313,27.373784938936726
pc11.5k_pd3k_r1,11500.0,3000.0,11560.8,2981.2,1,ok,33.333333333333336,82,54,202.98914751037955,127.49999450534233,176.405101813998,1.3532609834025304,0.10463138491004313,26.578868890602653
pc11.5k_pd3k_r2,11500.0,3000.0,11835.3,3117.6,2,ok,33.333333333333336,84,59,202.98914751037955,127.49999450534233,177.114198424101,1.3532609834025304,0.11448565191671745,27.66916554850397
pc11.5k_pd3.3k_r0,11500.0,3300.0,11914.4,3386.8,0,ok,33.333333333333336,90,66,218.025321373716,123.74999755593308,181.50777729899497,1.45350214249144,0.11626563675539481,29.250742559579198
pc11.5k_pd3.3k_r1,11500.0,3300.0,11582.2,3220.3,1,ok,33.333333333333336,87,62,210.507248993963,127.49999450534233,180.2207955288754,1.4033816599597533,0.1125495459487474,27.767828303626146
pc11.5k_pd3.3k_r2,11500.0,3300.0,11499.0,3343.3,2,ok,33.333333333333336,88,65,218.02535047754645,127.49999450534233,183.07930253076768,1.4535023365169764,0.11394195750658628,28.37637420803215
pc11.5k_pd3.6k_r0,11500.0,3600.0,11203.7,3628.4,0,ok,33.333333333333336,92,67,240.57968403212726,127.49999450534233,191.49229459268543,1.6038645602141817,0.11959181442468726,29.152182058173
pc11.5k_pd3.6k_r1,11500.0,3600.0,11598.9,3650.1,1,ok,33.333333333333336,93,67,233.06161165237427,120.00000060652383,189.42407956769105,1.5537440776824951,0.11904828786389524,30.07245835594492
pc11.5k_pd3.6k_r2,11500.0,3600.0,11227.7,3552.4,2,ok,33.333333333333336,91,66,233.06155344471335,127.49999450534233,189.04560950015275,1.5537436896314223,0.11045552227681486,28.720947278974425
pc13k_pd2.4k_r0,13000.0,2400.0,12886.5,2343.8,0,ok,16.666666666666668,66,42,172.91668336838484,123.74999755593308,160.5711704537475,1.1527778891225655,0.10757692607646983,25.494430388413704
pc13k_pd2.4k_r1,13000.0,2400.0,13452.2,2376.2,1,ok,16.666666666666668,65,41,165.3985818848014,120.00000060652383,158.77702285203495,1.1026572125653427,0.09777432061427173,26.67761068609909
pc13k_pd2.4k_r2,13000.0,2400.0,13085.5,2387.6,2,ok,16.666666666666668,67,41,172.91668336838484,120.00000060652383,160.5711704537475,1.1527778891225655,0.09209328743200203,25.52028806090218
pc13k_pd2.7k_r0,13000.0,2700.0,13411.7,2771.3,0,ok,33.333333333333336,75,50,180.4347848519683,127.49999450534233,164.53648780720573,1.2028985656797886,0.09845732164757558,28.577414624512333
