counter,config,intervention,P_cont,P_disp,P_out,P_cont_meas,P_disp_meas,P_out_meas,f_droplet,d_droplet,L_droplet,w_droplet,n_droplets,polydispersity,v_droplet,regime,status
24,pressure_driven,0,11500.0,3300.0,0,11914.4,3386.8,0,33.333333333333336,181.50777729899497,218.025321373716,123.74999755593308,66,0.11626563675539481,29.250742559579198,dripping,ok
25,pressure_driven,0,11500.0,3300.0,0,11582.2,3220.3,0,33.333333333333336,180.2207955288754,210.507248993963,127.49999450534233,62,0.1125495459487474,27.767828303626146,dripping,ok
26,pressure_driven,0,11500.0,3300.0,0,11499.0,3343.3,0,33.333333333333336,183.07930253076768,218.02535047754645,127.49999450534233,65,0.11394195750658628,28.37637420803215,dripping,ok
27,pressure_driven,0,11500.0,3600.0,0,11203.7,3628.4,0,33.333333333333336,191.49229459268543,240.57968403212726,127.49999450534233,67,0.11959181442468726,29.152182058173,dripping,ok
28,pressure_driven,0,11500.0,3600.0,0,11598.9,3650.1,0,33.333333333333336,189.42407956769105,233.06161165237427,120.00000060652383,67,0.11904828786389524,30.07245835594492,dripping,ok
29,pressure_driven,0,11500.0,3600.0,0,11227.7,3552.4,0,33.333333333333336,189.04560950015275,233.06155344471335,127.49999450534233,66,0.11045552227681486,28.720947278974425,dripping,ok
30,pressure_driven,0,13000.0,2400.0,0,12886.5,2343.8,0,16.666666666666668,160.5711704537475,172.91668336838484,123.74999755593308,42,0.10757692607646983,25.494430388413704,dripping,ok
31,pressure_driven,0,13000.0,2400.0,0,13452.2,2376.2,0,16.666666666666668,158.77702285203495,165.3985818848014,120.00000060652383,41,0.09777432061427173,26.67761068609909,dripping,ok
32,pressure_driven,0,13000.0,2400.0,0,13085.5,2387.6,0,16.666666666666668,160.5711704537475,172.91668336838484,120.00000060652383,41,0.09209328743200203,25.52028806090218,dripping,ok
33,pressure_driven,0,13000.0,2700.0,0,13411.7,2771.3,0,33.333333333333336,164.53648780720573,180.4347848519683,127.49999450534233,50,0.09845732164757558,28.577414624512333,dripping,ok
34,pressure_driven,0,13000.0,2700.0,0,13164.7,2581.0,0,33.333333333333336,163.2254192017366,176.67571955826133,127.49999450534233,46,0.09739911698707496,27.09519638095096,dripping,ok
35,pressure_driven,0,13000.0,2700.0,0,13013.5,2736.9,0,33.333333333333336,165.83719174623906,180.4347848519683,127.49999450534233,49,0.09252661653946122,27.735226825627564,dripping,ok
36,pressure_driven,0,13000.0,3000.0,0,13261.0,2962.9,0,16.666666666666668,168.408464332928,187.95288633555174,127.49999450534233,55,0.10251517124199483,29.413115227065163,dripping,ok
37,pressure_driven,0,13000.0,3000.0,0,13473.7,2920.8,0,16.666666666666668,166.69868944849046,180.4347848519683,127.49999450534233,53,0.09842736059941293,29.718483821982403,dripping,ok
38,pressure_driven,0,13000.0,3000.0,0,12828.0,3056.1,0,33.333333333333336,171.56837332342272,195.4709878191352,127.49999450534233,58,0.11139913751741107,29.346687177377333,dripping,ok
39,pressure_driven,0,13000.0,3300.0,0,13012.8,3432.2,0,33.333333333333336,176.810631586431,202.98920571804047,120.00000060652383,64,0.11270947921439979,31.04626234434383,dripping,ok
40,pressure_driven,0,13000.0,3300.0,0,13049.0,3258.2,0,33.333333333333336,173.8491406166571,195.4710460267961,127.49999450534233,63,0.10456413523365925,30.325328057176396,dripping,ok
41,pressure_driven,0,13000.0,3300.0,0,12901.8,3228.0,0,33.333333333333336,173.8491406166571,202.98908930271864,127.49999450534233,61,0.10187498541500054,30.072465514816916,dripping,ok
42,pressure_driven,0,13000.0,3600.0,0,12667.8,3645.4,0,50.0,182.88360038768107,218.02535047754645,120.00000060652383,65,0.11218606881549287,31.286581178812952,dripping,ok
43,pressure_driven,0,13000.0,3600.0,0,13151.1,3693.2,0,50.0,181.31037889660428,218.02535047754645,120.00000060652383,65,0.10863172259715588,32.595688160278456,dripping,ok
44,pressure_driven,0,13000.0,3600.0,0,12803.8,3721.6,0,50.0,183.66515779626366,225.543393753469,120.00000060652383,65,0.11425327138825078,32.04364530790437,dripping,ok
45,pressure_driven,0,14500.0,2400.0,0,14416.7,2475.6,0,16.666666666666668,156.96236870863288,165.3985818848014,127.49999450534233,41,0.08220501229153027,28.944242019650773,dripping,ok
