time_s,vtk_index,droplet_in_frame,x_min_um,x_max_um,x_centroid_um,L_um,w_um,V_nL,n_cells,V1_nL,c1,V2_nL,c2,V3_nL,c3,dye_closure_err,dye_outside_frac,core_bias_strict,asym_strict
0.185,18519,0,5089.999875053763,6290.000164881349,5650.542302631358,1200.0002898275852,738.4615382761694,459.4319668941203,351,153.13549208178037,0.3333148390109121,153.13511521885204,0.3333140187307498,153.1613595934879,0.3333711422583382,0.24104686925243468,0.15717405263595602,-3.07272013783666e-05,-5.972445931168302e-05
0.1875,18769,0,5149.999866262078,6350.0001560896635,5730.932877511197,1200.0002898275852,738.4615382761694,456.206490987856,351,152.06041710674165,0.33331489163487027,152.06004574584497,0.33331407761555226,152.08602813526934,0.3333710307495774,0.2488066477705234,0.1603038368623146,-3.067848922949645e-05,-5.9634035310229816e-05
0.19,19019,0,5209.999857470393,6410.000147297978,5811.273815090326,1200.0002898275852,738.4615382761694,448.4042617508971,351,149.45976938920109,0.33331478341798354,149.45940366239134,0.3333139677994872,149.48508869930473,0.33337124878252933,0.2538586261684845,0.1718084400106638,-3.0395585774889433e-05,-5.908519513564414e-05
0.1925,19269,0,5329.999839887023,6530.000129714608,5892.062201659823,1200.0002898275852,738.4615382761694,448.5614883724939,351,149.51227869218368,0.33331501381149753,149.51191628856353,0.3333142058874346,149.53729339174666,0.3333707803010678,0.2578050216348176,0.1624736778392996,-2.9857248797227065e-05,-5.8039931128628375e-05
0.195,19519,0,5389.999831095338,6590.000120922923,5972.6984793583815,1200.0002898275852,738.4615382761694,448.35157600596585,351,149.4423904468765,0.33331518933901993,149.44203226873648,0.3333143904611768,149.46715329035285,0.33337042019980323,0.26413972344486575,0.16006049713025355,-2.9357801362095426e-05,-5.707171776425657e-05
0.1975,19769,0,5449.999822303653,6710.000103339553,6053.496226321986,1260.0002810359001,738.4615382761694,442.88605656149946,338,147.62069892820185,0.3333153002700214,147.62034948717564,0.3333145112611532,147.645008146122,0.3333701884688255,0.2689395588242754,0.16012904104415054,-2.9291237230277822e-05,-5.6952155165712615e-05
0.2925,29269,0,3125.9258976206183,4669.999936595559,3991.621531570365,1544.0740389749408,615.3846115921624,520.6108478289087,429,165.01715731400645,0.31696834209693026,146.55531304076825,0.28150645276014596,209.03837747413405,0.4015252051429238,0.1300000958147502,0.16951566305694388,-0.08209429676069813,-0.09896794631485006
0.295,29519,0,3362.9629760980606,4789.999919012189,4110.790432809329,1427.0369429141283,615.3846115921624,523.8926637384192,403,166.34297177860347,0.3175134589432978,147.2459261070119,0.28106124841735164,210.30376585280382,0.40142529263935056,0.12791811880996992,0.17210061524058562,-0.08287239019084669,-0.09835478995741115
0.2975,29769,0,3540.740697644651,4849.999910220504,4212.189691582591,1309.2592125758529,676.9230749341659,521.1979483518742,377,165.31934829493028,0.3171910956627921,146.45844952207312,0.28100350353488973,209.42015053487074,0.4018054008023182,0.134803632071452,0.17188059954094514,-0.08369511539185509,-0.09647296965925656
0.3,30019,0,3659.259295091033,4969.999892637134,4304.739083292029,1310.7405975461006,676.9230749341659,518.7630265128446,377,164.34513327298737,0.3168019401415806,145.74258496027826,0.28094250652358255,208.67530827957893,0.4022555533348368,0.1384469330526286,0.1839755296187835,-0.0849890717074136,-0.09776360317074961
0.3025,30269,0,3777.777776122093,5029.9998838454485,4392.169937310958,1252.2221077233553,676.9230749341659,517.6650340899045,364,164.054557729598,0.3169125726600768,145.33058995979488,0.2807425272894805,208.27988640051163,0.40234490005044266,0.1456754629257909,0.18041751901440103,-0.08661166922535124,-0.10053970930409362
0.305,30519,0,3896.2963735684752,5089.999875053763,4475.810339935217,1193.7035014852881,676.9230749341659,508.9653227838417,351,160.75533773075475,0.31584732895256157,142.74093473277944,0.28045316319792124,205.4690503203075,0.4036995078495171,0.15262984200729118,0.18742037664503042,-0.0864302277126085,-0.10111282241312075
0.3075,30769,0,3955.5556140840054,5149.999866262078,4557.241770080473,1194.444252178073,676.9230749341659,509.38077788164446,351,161.08679526294756,0.3162404280995,142.66498154439228,0.280075314458648,205.62900107430457,0.403684257441852,0.15414854826541946,0.18466038282042285,-0.08501587789311849,-0.09794519835180532
0.31,31019,0,4074.0740951150656,5269.999848678708,4637.333504948538,1195.9257535636425,676.9230749341659,506.67027180909736,351,159.90420962962943,0.3155981681314785,142.06943059996573,0.280398196824728,204.69663157950225,0.4040036350437935,0.15979995429103663,0.19212629306675486,-0.08582571391369204,-0.09927560532539798
0.3125,31269,0,4133.3334520459175,5329.999839887023,4716.038237915596,1196.6663878411055,676.9230749341659,505.1781662877516,351,159.5422791529036,0.31581388468405747,141.38043302297135,0.27986251674709245,204.2554541118767,0.40432359856885014,0.16460400748673307,0.1924181429456164,-0.08612857947133334,-0.0986998232066233
0.315,31519,0,4192.592576146126,5389.999831095338,4794.673379621929,1197.407254949212,676.9230749341659,496.4173663115567,351,156.63203370880288,0.3155248876013314,138.35951076582845,0.2787160968881024,201.42582183692534,0.4057590155105662,0.16740746043375684,0.2039717727754377,-0.08561081698749123,-0.09740265892800909
0.3175,31769,0,4311.111057177186,5509.999813511968,4873.867604211391,1198.8887563347816,676.9230749341659,501.318234768929,351,158.14935944651626,0.3154669997579711,140.24663240758875,0.2797556974408325,202.922242914824,0.40477730280119634,0.1683549967171331,0.19839894197834634,-0.08579781134338804,-0.09852898953752331
0.32,32019,0,4370.370414108038,5569.999804720283,4953.050960250089,1199.6293906122446,676.9230749341659,495.73081657985927,351,156.38957415389885,0.3154727705508811,138.46777650180127,0.27932049384606883,200.8734659241591,0.40520673560305,0.17511591789171915,0.205121954302087,-0.08682604633265262,-0.09877156918114832
0.3225,32269,0,4429.9999717622995,5629.999795928597,5031.9326547024575,1199.999824166298,676.9230749341659,488.32092186228795,338,153.90939076093727,0.3151808244749781,136.31416168729294,0.27914872286740783,198.09736941405777,0.4056704526576141,0.18018479930127318,0.2022045925710127,-0.08600867720505678,-0.09753625362678664
0.325,32519,0,4549.999954178929,5749.999778345227,5112.243733949931,1199.999824166298,676.9230749341659,489.6553320848878,338,154.45367023399226,0.3154334490269899,136.7916313980991,0.2793630997862484,198.41003045279638,0.40520345118676165,0.1799080679220372,0.20251247350668414,-0.08556821553644656,-0.09710773778096754
